timestamp,SPY,QQQ,AAPL,MSFT
2025-01-01 09:30:00,100.12,200.06,149.95,250.05
2025-01-01 09:31:00,100.15,199.93,149.8,249.91
2025-01-01 09:32:00,100.22,199.97,149.86,250.05
2025-01-01 09:33:00,100.34,200.04,150.07,250.23
2025-01-01 09:34:00,100.35,199.82,150.09,250.03
2025-01-01 09:35:00,100.35,199.97,150.09,250.26
2025-01-01 09:36:00,100.55,200.27,150.36,250.31
2025-01-01 09:37:00,100.66,200.15,150.21,250.17
2025-01-01 09:38:00,100.67,200.16,150.25,250.05
2025-01-01 09:39:00,100.69,200.58,150.45,250.53
2025-01-01 09:40:00,100.71,200.57,150.56,250.72
2025-01-01 09:41:00,100.68,200.4,150.59,250.43
2025-01-01 09:42:00,100.81,200.43,150.58,250.44
2025-01-01 09:43:00,100.58,200.24,150.4,250.35
2025-01-01 09:44:00,100.49,200.23,150.29,250.22
2025-01-01 09:45:00,100.45,200.26,150.4,250.21
2025-01-01 09:46:00,100.31,199.85,150.0,249.67
2025-01-01 09:47:00,100.32,199.31,149.53,249.33
2025-01-01 09:48:00,100.21,199.26,149.41,249.12
2025-01-01 09:49:00,100.09,198.93,149.3,248.86
2025-01-01 09:50:00,100.26,199.0,149.44,249.21
2025-01-01 09:51:00,100.21,198.85,149.27,248.81
2025-01-01 09:52:00,100.22,198.7,149.03,248.22
2025-01-01 09:53:00,100.18,198.86,149.33,248.69
2025-01-01 09:54:00,100.22,198.52,149.16,248.55
2025-01-01 09:55:00,100.25,198.55,149.14,248.52
2025-01-01 09:56:00,100.13,198.45,148.94,248.07
2025-01-01 09:57:00,100.18,198.46,148.89,247.9
2025-01-01 09:58:00,100.15,198.51,148.87,248.13
2025-01-01 09:59:00,100.07,198.23,148.7,247.94
2025-01-01 10:00:00,100.0,198.38,148.57,248.14
2025-01-01 10:01:00,100.1,198.17,148.44,247.82
2025-01-01 10:02:00,100.12,198.16,148.43,247.6
2025-01-01 10:03:00,100.04,198.09,148.26,247.1
2025-01-01 10:04:00,100.1,198.56,148.54,247.46
2025-01-01 10:05:00,100.06,198.83,148.58,247.58
2025-01-01 10:06:00,100.02,198.66,148.39,247.38
2025-01-01 10:07:00,99.75,198.77,148.53,247.56
2025-01-01 10:08:00,99.63,198.53,148.28,247.25
2025-01-01 10:09:00,99.7,198.39,148.29,247.22
2025-01-01 10:10:00,99.86,197.94,148.05,246.76
2025-01-01 10:11:00,99.85,197.63,147.86,246.53
2025-01-01 10:12:00,99.89,197.62,147.85,246.38
2025-01-01 10:13:00,99.86,197.78,147.97,246.59
2025-01-01 10:14:00,99.7,197.73,148.05,246.75
2025-01-01 10:15:00,99.68,197.82,147.88,246.67
2025-01-01 10:16:00,99.66,197.76,147.92,246.68
2025-01-01 10:17:00,99.69,197.47,147.68,246.67
2025-01-01 10:18:00,99.8,197.3,147.6,246.48
2025-01-01 10:19:00,99.69,197.22,147.63,246.41
